Name,Japanese Name,Romanized Name,Official English Name,Debut,Affiliations,Occupations,Status,Birthday,Japanese VA,Funi English VA,Residence,Epithet,Age,Height,Blood Type,Bounty,Odex English VA,4Kids English VA,Origin,Alias,Real name,English Name,Type,Meaning,Size,Weight,First Appearance.1,Age at Death,Zombie Number,First appearance,Region,Gladiator Number,Features,Literal Meaning,Captain,Total Bounty,CP9 key,Affiliation,Completion Date,Affiliates
A O,A・O（アー・オー）,Ā Ō,A.O. (VIZ Media and FUNimation subs);A.O (FUNimation dub),Chapter 551; Episode 460[1],A O Pirates;[2] Subordinate of the Whitebeard Pirates[1][2],Pirate; Captain[1][2],Alive,January 15th[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdullah,アブドーラ,Abudōra,Abdullah,Chapter 704; Episode 633[1],Ideo Pirates[2][3]; Straw Hat Grand Fleet[4],"Pirate[3], Criminal; Bounty Hunter (former)[1]",Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absalom,アブサロム,Abusaromu,Absalom,Chapter 444; Episode 339[1],Thriller Bark Pirates (Mysterious Four)[2] (former),Reporter[3]Soldier Zombie and General Zombie Leader [4],Deceased,December 30th[7],,,,,34 (debut)[5],"195 cm (6'5"")[5]",F[5],,,,West Blue[5],"""Absa"" (アブサ, Abusa?)[3]",,,,,,300 kg (661 lb)[8],,36[6],,,,,,,,,,,,
Acilia,アキリア,Akiria,Agilia; Acilia,Chapter 706; Episode 654[1],Corrida Colosseum[1],Gladiator[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adele,アデル,Aderu,Adelle[1],Chapter 608; Episode 527[2],Mermaid Café[3],Dancer[3],Alive,,,,Fish-Man Island[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggie 68,アギー68,Agī 68,Aggie 68,Chapter 552; Episode 461[1],Spade Pirates[1],Pirate[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agotogi,アゴトギ,Agotogi,N/A,Chapter 163; Episode 100[1],His own bandit gang[1],Bandit[1],Alive,,,,Arabasta[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agsilly,アグシリー,Agushirī,Agushily[1],Chapter 578; Episode 487[2],Ally of the Whitebeard Pirates[2],Pirate; Captain[2],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agyo,アギョウ,Agyō,Agyo,Chapter 706; Episode 652[1],Corrida Colosseum[1],,Alive,November 29th[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahho Desunen IX,アッホ・デスネン9世,Ahho Desunen Kyūsei,Dumas Regal IX,Chapter 587; Episode 501[1],Goa Kingdom (High Town)[1],Noble[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahho Zurako,アッホ・ヅラコ,Ahho Zurako,Dumas Fayes,Chapter 587; Episode 501[1],Goa Kingdom (High Town)[1],Noble[1],Alive,,,,"Goa Kingdom, Dawn Island[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahiru,あひるさん,Ahiru-san,Ahiru,Chapter 905; Episode 883[1],Revolutionary Army[1],East Army Deputy Commander[2],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aisa,アイサ,Aisa,Aisa,Chapter 249;[1] Episode 161[2],Shandia[1]; Wagomuland[3],,Alive,January 3rd[5],,,,,9 (debut)11 (after timeskip)[4],"140 cm (4'7"")[4]",F[4],,,,Sky Islands (Skypiea)[4],,,,,,,,,,,,,,,,,,,,,
Akehende,アケヘンデ,Akehende,Uweshall Notpass,Chapter 548; Episode 451[1],,Marine Rear Admiral[2],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akudai Kanzaburo,悪代カン三郎,Akudai Kanzaburō,N/A,Chapter 926; Episode 918[1],,Arms dealer[2],Alive,,,,Wano Country (Flower Capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akumai,アクマイ,Akumai,N/A,Chapter 129; Episode 78[1],Baroque Works[1],Billions agent[1],Alive,December 27th[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aladine,アラディン,Aradin,Aladdin,Chapter 620; Episode 540[1],Sun Pirates; Ryugu Kingdom (former)[2],Pirate; Doctor; First Mate;[3] Soldier (former); Slave (former)[2],Alive,January 31st[5],,,,,46[4],"627 cm (20'7"")[4]",XF[4],,,,Grand Line (Ryugu Kingdom)[4],,,,,,,,,,,,,,,,,,,,,
Albion,アルビオン,Arubion,Albion[1],Chapter 600; Episode 519[1],Fake Straw Hat Crew (Former);[1] His own crew[1],Pirate; Captain[1],Alive,November 9th[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ally,アリー,Arī,Ally,Chapter 658; Episode 583[1],,,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpacaman,アルパカマン,Arupakaman,Alpaca-Man,Chapter 934; Episode 929[1],Beasts Pirates[1],Gifter[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvida,アルビダ,Arubida,Alvida,Chapter 2; Episode 1[1],"Cross Guild;[2] Buggy's Delivery,[3] Buggy and Alvida Alliance; Buggy Pirates (Acting Captain, temporarily); Alvida Pirates (formerly)",Pirate Captain;[1],Alive,March 14th (Beauty Day)[5],,,Karai Bari Island[3]; Goat Island (former),,25 (debut)27 (after timeskip)[4],"198 cm (6'6"")[4]",S[4],,,,East Blue[4],,,,,,,,,,,,,,,,,,,,,
Amadob,アマドブ,Amadobu,Amadob,Chapter 558; Episode 467[1],Ally of the Whitebeard Pirates[1],Pirate; Captain[2],Alive,June 20th[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,アマゾン,Amazon,Amazon,Chapter 238; Episode 153[1],Wagomuland[2],Gatekeeper of Skypiea (former);[1] Ticket Saleswoman[2],Alive,August 4th[4],,,Skypiea[1],,77 (debut)79 (after timeskip)[3],"120 cm (3'11"")[3]",X[3],,,,Grand Line (Skypiea)[3],,,,,,,,,,,,,,,,,,,,,
An Zengaiina,アン・ゼンガイーナ,An Zengaīna,Ratherby Seifer,Chapter 528; Episode 425[1],,Prisoner,Alive,January 31st[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
